GEOID,GEOID11,16+_emp_rate,16+_uemp_rate,uemp_rate,med_hhinc,pop,pct_white,pct_black,pct_asian,pct_other,tol_hu,med_value,pct_noins,pct_poverty,city,metro,med_rent
1400000US06037221601,6037221601,56.5,7.3,11.5,38558,3130,24.9,14.5,5,55.6,100,591.2,15.9,22.9,,,1038
1400000US06037221602,6037221602,56.5,6.1,9.8,27740,2919,29.9,3.8,5.6,60.7,100,524,18.3,32.3,,,1106
1400000US06037221710,6037221710,56.4,3.9,6.4,36563,2691,24.3,6.6,16.4,52.8,150,465,13.7,29.8,,,1086
1400000US06037221810,6037221810,43.8,9.1,17.2,20685,2811,31.1,11.3,24.9,32.8,150,600,14.8,54.9,,,1151
1400000US06037221820,6037221820,38.9,9.3,19.3,13770,2316,29.1,9.4,55.4,6.1,90,,3.5,57.7,,,1542
1400000US06037221900,6037221900,33.2,6.5,16.3,12319,3802,30.5,8.7,38.1,22.7,80,966.7,6.6,69.9,,,1103
1400000US06037222001,6037222001,63.9,5,7.3,68125,3357,23,25.9,1.2,50,100,545.1,14.2,14.1,,,1343
1400000US06037222002,6037222002,59.3,5.3,8.3,46856,5066,15,21.8,0.1,63,90,487.5,18.1,26.7,,,1150
1400000US06037222100,6037222100,57.7,6.7,10.5,46429,4226,23.1,27.2,8.6,41.1,100,493.1,17.8,24.4,,,1277
1400000US06037222200,6037222200,57.9,6.4,10,36852,3876,23.8,19.4,2.3,54.5,90,713.9,19,31.1,,,1057
1400000US06037222500,6037222500,60.1,4.2,6.6,42487,5444,22.2,22.9,2.2,52.7,100,468.4,20.9,26.4,,,1293
1400000US06037222600,6037222600,49.6,7.7,13.4,26277,5456,24.7,21.9,16.9,36.5,150,509.9,11.8,37.9,,,1179
1400000US06037222700,6037222700,19.7,9.1,31.7,8264,4199,48,7.1,34.7,10.2,30,,2,82.4,,,2000
1400000US06037224010,6037224010,62.2,4.2,6.3,22054,2672,39.8,22.2,11.1,26.9,100,,17.1,44.3,,,792
1400000US06037224020,6037224020,69.1,2.2,3.1,26493,2476,49.4,6.9,2.5,41.2,100,366.7,26.3,46.4,,,820
1400000US06037224200,6037224200,61.5,4.8,7.2,30579,2613,49,3,1.1,46.9,80,,29.5,30.1,,,1062
1400000US06037224310,6037224310,61.7,3.8,5.8,31094,2449,49.3,1.5,3.1,46.1,70,,30.3,43,,,935
1400000US06037224320,6037224320,66.1,6.6,9.1,30273,3087,40.4,8.8,1.8,48.9,80,,23.6,31.1,,,842
1400000US06037224410,6037224410,49.8,2.7,5.2,26742,3167,36.7,4,15.5,43.8,90,452.8,16.5,37.1,,,1077
1400000US06037224420,6037224420,57,7.1,11.1,23854,2676,36.2,6.7,4.5,52.6,100,657.6,18.7,40.8,,,858
1400000US06037224600,6037224600,58.7,5.1,7.9,40600,3323,32.7,8.5,2.4,56.3,100,344.3,20.5,35.2,,,929
1400000US06037224700,6037224700,33.8,8.3,19.8,10802,6456,49.8,4.4,34.9,11,150,450,4.5,80.3,,,1743
1400000US06037226001,6037226001,64.3,5.4,7.8,40978,2531,35.8,9.1,0,55.1,60,353.8,22.2,41.9,,,1213
1400000US06037226002,6037226002,71.8,7.8,9.8,27632,1754,46.7,12.2,7.1,34,150,453.9,21.8,34.8,,,764
1400000US06037226410,6037226410,62.8,4.4,6.6,36622,3501,48.7,0.5,0.8,50,100,393.8,27.3,34.1,,,1059
1400000US06037226420,6037226420,58.8,5.3,8.3,31615,5345,51.4,5.6,3.5,39.5,100,356.5,22.7,33.5,,,990
1400000US06037226700,6037226700,58.4,5.5,8.6,38353,7640,58.4,2.3,0.5,38.8,90,350,19.4,33.2,,,1198
1400000US06037227010,6037227010,56,6.2,10,42269,5552,63.6,6.2,0,30.2,70,375.6,19.4,26.9,,,1160
1400000US06037227020,6037227020,60.4,7,10.4,45129,3647,54.7,2.8,0.4,42.1,90,335.6,20.8,25.2,,,1134
1400000US06037228100,6037228100,64.1,4.1,6,46278,5476,54.9,7.9,0,37.2,60,319.9,19,17.6,,,1255
1400000US06037228210,6037228210,55.9,7.3,11.6,34386,4160,52.5,10.4,1.8,35.3,150,364.4,17.4,32.5,,,1058
1400000US06037228220,6037228220,58.1,5.4,8.5,39628,4312,46.2,10.4,0.2,43.3,100,341.6,23.8,33.9,,,1035
1400000US06037228310,6037228310,64.6,4.4,6.4,42183,4518,47.7,3.9,0,48.5,100,378.9,19.1,21.6,,,1104
1400000US06037228320,6037228320,64.4,5.3,7.6,30714,3081,56.1,4.3,0,39.5,80,343.3,21.1,33.3,,,1237
1400000US06037228410,6037228410,59.9,5.8,8.9,41375,3469,56.8,2,0.3,40.9,80,353.3,27.8,34.3,,,1293
1400000US06037228420,6037228420,59.5,6.7,10.1,35027,3160,44.5,6.8,0,48.8,90,411.5,25.7,40.1,,,951
1400000US06037228500,6037228500,60,4.2,6.5,33259,5109,25.9,15.4,0.8,57.9,80,342.9,24.8,35.4,,,1197
1400000US06037228600,6037228600,61.7,6.9,10.1,42308,5125,23.6,7.2,0.1,69.1,80,366.9,25.1,39.3,,,1075
1400000US06037228710,6037228710,53.5,4.7,8.1,30737,3944,48,12.4,1,38.5,100,350.7,25.1,44.3,,,1098
1400000US06037228720,6037228720,56.1,6,9.7,36587,4835,49.7,9.9,0.2,40.1,100,327.2,21,29.1,,,1130
1400000US06037228800,6037228800,57.2,3.9,6.4,38969,5901,44.2,7.8,0,47.9,80,346.6,23,36.6,,,1031
1400000US06037228900,6037228900,41.6,6.5,13.6,19087,2650,46.2,13.8,0.2,39.8,80,296.2,10.2,42.2,,,582
1400000US06037229100,6037229100,63.6,3.7,5.4,44869,5232,48.4,3.6,0,47.9,100,324.1,25.9,30.4,,,1296
1400000US06037229200,6037229200,66.2,2.8,4.1,37321,4648,36.9,15.6,1.2,46.3,80,341.6,21,23.1,,,959
1400000US06037229300,6037229300,54.3,5.3,9,31720,5753,33.6,11.4,0,55,100,424,19.7,38,,,1130
1400000US06037229410,6037229410,53.6,4,7,30227,3571,54,8.8,0.6,36.6,80,363,21.1,47.7,,,1194
