GEOID,GEOID11,16+_emp_rate,16+_uemp_rate,uemp_rate,med_hhinc,pop,pct_white,pct_black,pct_asian,pct_other,tol_hu,med_hvalue,pct_noins,pct_poverty
1400000US06037432500,06037432500,54.3 ,9.8,7.1 ,"53,706 ","6,564 ",35.0 ,0.5 ,33.6 ,30.9 ,"1,636 ",489800,,15.1 
1400000US06037432601,06037432601,52.5 ,8.3,6.6 ,"50,150 ","4,554 ",36.6 ,0.8 ,38.7 ,23.9 ,"1,135 ",420500,,21.7 
1400000US06037432602,06037432602,56.9 ,8.8,15.3 ,"48,489 ","5,262 ",41.0 ,0.5 ,19.1 ,39.4 ,"1,297 ",399400,,9.0 
1400000US06037432700,06037432700,54.1 ,4.9,13.6 ,"29,740 ","2,568 ",32.0 ,0.5 ,36.9 ,30.6 ,922 ,341800,,17.6 
1400000US06037432801,06037432801,53.3 ,4,13.4 ,"37,092 ","5,821 ",32.9 ,1.3 ,19.1 ,46.7 ,"1,538 ",374000,,31.9 
1400000US06037432802,06037432802,55.0 ,6.9,8.2 ,"61,094 ","4,464 ",19.5 ,0.5 ,64.4 ,15.6 ,"1,261 ",456500,,15.5 
1400000US06037432901,06037432901,56.7 ,5.1,7.0 ,"65,301 ","3,482 ",28.0 ,0.5 ,51.6 ,19.9 ,908 ,498400,,5.8 
1400000US06037432902,06037432902,58.2 ,6.5,11.2 ,"55,573 ","2,281 ",33.9 ,0.2 ,43.8 ,22.1 ,584 ,446700,,13.2 
1400000US06037433101,06037433101,54.4 ,8.9,8.2 ,"30,341 ","5,085 ",33.9 ,0.3 ,36.7 ,29.1 ,"1,248 ",443500,,24.3 
1400000US06037433102,06037433102,52.8 ,3,10.1 ,"47,500 ","6,163 ",40.7 ,0.8 ,24.2 ,34.3 ,"1,579 ",362600,,19.9 
1400000US06037433200,06037433200,62.2 ,4.6,14.1 ,"43,516 ","1,595 ",50.5 ,0.7 ,13.2 ,35.6 ,424 ,355600,,22.4 
1400000US06037433302,06037433302,58.2 ,6.5,5.4 ,"43,896 ","4,726 ",35.5 ,1.4 ,29.0 ,34.1 ,"1,316 ",348400,,24.2 
1400000US06037433304,06037433304,58.0 ,4.9,6.9 ,"31,184 ","4,893 ",33.6 ,0.9 ,19.2 ,46.3 ,"1,171 ",356000,,38.3 
1400000US06037433305,06037433305,55.2 ,6.4,10.0 ,"43,125 ","3,333 ",33.4 ,1.1 ,30.6 ,34.9 ,754 ,343800,,29.6 
1400000US06037433306,06037433306,56.5 ,3.9,7.8 ,"63,700 ","3,421 ",32.4 ,0.6 ,30.4 ,36.6 ,828 ,377400,,15.0 
1400000US06037433307,06037433307,54.0 ,8.4,10.4 ,"39,415 ","3,371 ",40.2 ,0.1 ,22.7 ,37.0 ,741 ,371600,,30.1 
1400000US06037433401,06037433401,60.3 ,7.3,6.5 ,"38,173 ","4,776 ",43.5 ,0.9 ,19.6 ,36.0 ,"1,117 ",408700,,14.4 
1400000US06037433402,06037433402,59.1 ,1.6,13.4 ,"36,223 ","4,675 ",41.4 ,0.8 ,14.5 ,43.3 ,"1,237 ",360000,,22.8 
1400000US06037433403,06037433403,55.6 ,3.3,10.8 ,"35,382 ","1,954 ",52.4 ,0.3 ,7.7 ,39.6 ,534 ,77200,,35.3 
1400000US06037433501,06037433501,52.0 ,4.7,2.7 ,"54,850 ","3,108 ",45.8 ,0.4 ,19.1 ,34.7 ,675 ,416300,,15.7 
1400000US06037433503,06037433503,51.8 ,4.9,5.6 ,"36,793 ","4,679 ",44.6 ,0.5 ,17.0 ,37.9 ,"1,034 ",404200,,23.2 
1400000US06037433504,06037433504,52.6 ,6,8.3 ,"51,587 ","4,923 ",18.8 ,0.5 ,63.9 ,16.8 ,"1,312 ",447200,,8.7 
1400000US06037433601,06037433601,56.5 ,5.7,8.7 ,"39,688 ","2,803 ",21.4 ,0.1 ,58.9 ,19.6 ,801 ,441700,,27.7 
